Driver,Sebastian Chudek,,,,,,SPEED,
Vehicle,mx5 mx52016,,,,,,THROTTLE,
Venue,okayama full,,,,,,BRAKING,
Session,Test,,,,,,RPM,
Session Date,18/03/2022,,,,,,GEAR,
Session Time,23:18:32,,,,,,TIME,
Sample Rate,60,Hz,,,,,,
,,,,,,,,
,,,,,,,,
,Lap No.,Brake,Gear,RPM,Speed,Throttle,LapDist,SessionTick
,,%,,rpm,m/s,%,m,
,,,,,,,,
,1,0,1,5303.46,19.8467,100,29.4052,40061
,1,0,1,5325.46,19.9125,100,29.7303,40062
,1,0,1,5343.24,19.9796,100,30.0564,40063
,1,0,1,5355.09,20.0477,100,30.3837,40064
,1,0,1,5362.08,20.1164,100,30.7122,40065
,1,0,1,5368.71,20.1861,100,31.0419,40066
,1,0,1,5377.09,20.2545,100,31.3727,40067
,1,0,1,5389.72,20.3219,100,31.7047,40068
,1,0,1,5408.31,20.3867,100,32.0379,40069
,1,0,1,5434.8,20.4482,100,32.372,40070
,1,0,1,5470.15,20.5084,100,32.7073,40071
,1,0,1,5507.71,20.5691,100,33.0435,40072
,1,0,1,5538.17,20.6315,100,33.3809,40073
,1,0,1,5556.31,20.6971,100,33.7193,40074
,1,0,1,5563.36,20.7656,100,34.0589,40075
,1,0,1,5565.56,20.8351,100,34.3997,40076
,1,0,1,5570.06,20.9046,100,34.7416,40077
,1,0,1,5580.62,20.9725,100,35.0848,40078
,1,0,1,5597.21,21.0381,100,35.429,40079
,1,0,1,5617.85,21.102,100,35.7744,40080
,1,0,1,5639.2,21.1659,100,36.1208,40081
,1,0,1,5659.43,21.23,100,36.4685,40082
,1,0,1,5677.56,21.2945,100,36.8172,40083
,1,0,1,5693.35,21.3596,100,37.167,40084
,1,0,1,5707.61,21.425,100,37.5179,40085
,1,0,1,5722.07,21.4903,100,37.8699,40086
,1,0,1,5737.37,21.5554,100,38.2231,40087
,1,0,1,5752.74,21.6204,100,38.5773,40088
,1,0,1,5767.68,21.6849,100,38.9327,40089
,1,0,1,5784.08,21.7491,100,39.2892,40090
,1,0,1,5801.85,21.813,100,39.6469,40091
,1,0,1,5820.4,21.8763,100,40.0056,40092
,1,0,1,5839.78,21.9393,100,40.3654,40093
,1,0,1,5859.5,22.0024,100,40.7263,40094
,1,0,1,5877.4,22.0661,100,41.0882,40095
,1,0,1,5891.81,22.13,100,41.4512,40096
,1,0,1,5904.64,22.1946,100,41.8154,40097
,1,0,1,5916.82,22.2592,100,42.1806,40098
,1,0,1,5930.04,22.3236,100,42.5471,40099
,1,0,1,5945.22,22.3874,100,42.9146,40100
,1,0,1,5962.73,22.4501,100,43.2832,40101
,1,0,1,5982.27,22.512,100,43.6528,40102
,1,0,1,6002,22.5738,100,44.0235,40103
,1,0,1,6020.39,22.6357,100,44.3953,40104
,1,0,1,6035.89,22.6984,100,44.7681,40105
,1,0,1,6048.27,22.7613,100,45.142,40106
,1,0,1,6059.86,22.8246,100,45.5171,40107
,1,0,1,6072.63,22.887,100,45.8932,40108
,1,0,1,6088.99,22.9491,100,46.2704,40109
,1,0,1,6107.52,23.0097,100,46.6486,40110
,1,0,1,6127.76,23.0696,100,47.0279,40111
,1,0,1,6148.53,23.1293,100,47.4082,40112
,1,0,1,6168.21,23.1894,100,47.7895,40113
,1,0,1,6185.05,23.2504,100,48.1719,40114
,1,0,1,6198.89,23.3121,100,48.5554,40115
,1,0,1,6211.54,23.3742,100,48.9399,40116
,1,0,1,6225.65,23.4358,100,49.3255,40117
,1,0,1,6242.15,23.4965,100,49.7122,40118
,1,0,1,6259.76,23.5566,100,50.0999,40119
,1,0,1,6276.87,23.6165,100,50.4886,40120
,1,0,1,6291.37,23.6768,100,50.8784,40121
,1,0,1,6302.69,23.7373,100,51.2692,40122
,1,0,1,6312.35,23.7979,100,51.6612,40123
,1,0,1,6324.84,23.8578,100,52.0541,40124
,1,0,1,6342.4,23.9168,100,52.4481,40125
,1,0,1,6362.84,23.9742,100,52.8431,40126
,1,0,1,6384.51,24.0306,100,53.239,40127
,1,0,1,6405.99,24.087,100,53.6359,40128
,1,0,1,6426.09,24.1443,100,54.0338,40129
,1,0,1,6442.74,24.2024,100,54.4327,40130
,1,0,1,6456.26,24.2608,100,54.8327,40131
,1,0,1,6469.63,24.32,100,55.2336,40132
,1,0,1,6486.36,24.379,100,55.6356,40133
,1,0,1,6505.71,24.4375,100,56.0385,40134
,1,0,1,6527.39,24.4954,100,56.4425,40135
,1,0,1,6549.05,24.5535,100,56.8474,40136
,1,0,1,6566.78,24.6126,100,57.2534,40137
,1,0,1,6576.09,24.6723,100,57.6604,40138
,1,0,1,6579.56,24.7343,100,58.0685,40139
,1,0,1,6582.04,24.797,100,58.4776,40140
,1,0,1,6588.32,24.8587,100,58.8878,40141
,1,0,1,6600.75,24.9185,100,59.299,40142
,1,0,1,6619,24.9764,100,59.7112,40143
